timestamp,power
1598918400,407
1598919300,421
1598920200,431
1598921100,425
1598922000,420
1598922900,418
1598923800,414
1598924700,412
1598925600,428
1598926500,426
1598927400,447
1598928300,437
1598929200,410
1598930100,421
1598931000,435
1598931900,453
1598932800,356
1598933700,222
1598934600,229
1598935500,202
1598936400,212
1598937300,204
1598938200,228
1598939100,278
1598940000,241
1598940900,266
1598941800,208
1598942700,198
1598943600,209
1598944500,286
1598945400,257
1598946300,235
1598947200,240
1598948100,219
1598949000,247
1598949900,422
1598950800,142
1598951700,104
1598952600,212
1598953500,107
1598954400,82
1598955300,67
1598956200,120
1598957100,196
1598958000,64
1598958900,67
1598959800,104
1598960700,99
1598961600,78
1598962500,74
1598963400,65
1598964300,74
1598965200,77
1598966100,86
1598967000,96
1598967900,121
1598968800,74
1598969700,80
1598970600,68
1598971500,136
1598972400,84
1598973300,76
1598974200,74
1598975100,64
1598976000,70
1598976900,61
1598977800,82
1598978700,81
1598979600,113
1598980500,68
1598981400,63
1598982300,66
1598983200,127
1598984100,288
1598985000,312
1598985900,295
1598986800,296
1598987700,296
1598988600,303
1598989500,328
1598990400,293
1598991300,372
1598992200,1313
1598993100,1374
1598994000,487
1598994900,540
1598995800,479
1598996700,919
1598997600,472
1598998500,416
1598999400,414
1599000300,446
1599001200,437
1599002100,429
1599003000,408
1599003900,421
1599004800,415
1599005700,423
1599006600,447
1599007500,421
1599008400,417
1599009300,416
1599010200,416
1599011100,411
1599012000,450
1599012900,440
1599013800,419
1599014700,410
1599015600,413
1599016500,420
1599017400,430
1599018300,464
1599019200,385
1599020100,225
1599021000,200
1599021900,207
1599022800,205
1599023700,208
1599024600,240
1599025500,96
1599026400,78
1599027300,76
1599028200,156
1599029100,66
1599030000,109
1599030900,95
1599031800,95
1599032700,134
1599033600,120
1599034500,79
1599035400,70
1599036300,79
1599037200,72
1599038100,78
1599039000,57
1599039900,188
1599040800,71
1599041700,78
1599042600,81
1599043500,174
1599044400,89
1599045300,66
1599046200,107
1599047100,110
1599048000,104
1599048900,121
1599049800,117
1599050700,91
1599051600,80
1599052500,92
1599053400,130
1599054300,108
1599055200,86
1599056100,132
1599057000,89
1599057900,68
1599058800,84
1599059700,68
1599060600,70
1599061500,80
1599062400,64
1599063300,67
1599064200,80
1599065100,72
1599066000,76
1599066900,103
1599067800,170
1599068700,315
1599069600,316
1599070500,279
1599071400,284
1599072300,281
1599073200,310
1599074100,302
1599075000,289
1599075900,276
1599076800,283
1599077700,286
1599078600,281
1599079500,934
1599080400,1370
1599081300,575
1599082200,484
1599083100,452
1599084000,413
1599084900,448
1599085800,421
1599086700,412
1599087600,413
1599088500,405
1599089400,410
1599090300,440
1599091200,434
1599092100,416
1599093000,407
1599093900,420
1599094800,414
1599095700,418
1599096600,446
1599097500,417
1599098400,418
1599099300,436
1599100200,410
1599101100,410
1599102000,434
1599102900,441
1599103800,421
1599104700,444
1599105600,337
1599106500,212
1599107400,199
1599108300,237
1599109200,221
1599110100,202
1599111000,203
1599111900,199
1599112800,218
1599113700,223
1599114600,303
1599115500,242
1599116400,190
1599117300,246
1599118200,224
1599119100,168
1599120000,62
1599120900,65
1599121800,80
1599122700,66
1599123600,90
1599124500,111
1599125400,69
1599126300,64
1599127200,320
1599128100,394
1599129000,206
1599129900,62
1599130800,138
1599131700,67
1599132600,85
1599133500,126
1599134400,126
1599135300,92
1599136200,119
1599137100,125
1599138000,120
1599138900,151
1599139800,149
1599140700,108
1599141600,84
1599142500,96
1599143400,173
1599144300,107
1599145200,99
1599146100,106
1599147000,97
1599147900,78
1599148800,70
1599149700,73
1599150600,100
1599151500,96
1599152400,84
1599153300,169
1599154200,256
1599155100,478
1599156000,446
1599156900,411
1599157800,425
1599158700,410
1599159600,420
1599160500,438
1599161400,420
1599162300,402
1599163200,405
1599164100,414
1599165000,411
1599165900,1145
1599166800,485
1599167700,718
1599168600,719
1599169500,803
1599170400,447
1599171300,439
1599172200,446
1599173100,777
1599174000,481
1599174900,433
1599175800,426
1599176700,421
1599177600,432
1599178500,420
1599179400,422
1599180300,423
1599181200,458
1599182100,421
1599183000,419
1599183900,437
1599184800,410
1599185700,422
1599186600,427
