RW,HW,MM,DD,HH,t,p,WR,WG,N,x,RF,B,D,A,E,IL,date,vdi_date,vdi_time,temp_avg,temp_avg_7,cloud_eight,cloud_eight_7,season,day,clearness,type_day
4179500,2403500.0,1.0,1.0,1.0,-0.2,972.0,85.0,2.2,7.0,3.7,96.0,0.0,0.0,279.0,-317.0,2.0,2014-01-01 00:00:00,01.01,00:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,2.0,-0.7,972.0,54.0,2.1,8.0,3.6,95.0,0.0,0.0,279.0,-317.0,2.0,2014-01-01 01:00:00,01.01,01:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,3.0,-1.0,972.0,32.0,2.0,8.0,3.5,95.0,0.0,0.0,280.0,-317.0,2.0,2014-01-01 02:00:00,01.01,02:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,4.0,-1.0,972.0,47.0,1.9,8.0,3.5,94.0,0.0,0.0,280.0,-317.0,2.0,2014-01-01 03:00:00,01.01,03:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,5.0,-1.0,972.0,56.0,1.7,8.0,3.4,94.0,0.0,0.0,277.0,-317.0,2.0,2014-01-01 04:00:00,01.01,04:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,6.0,-1.1,971.0,90.0,1.8,8.0,3.4,93.0,0.0,0.0,277.0,-317.0,2.0,2014-01-01 05:00:00,01.01,05:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,7.0,-1.2,970.0,50.0,1.2,7.0,3.4,93.0,0.0,0.0,277.0,-317.0,2.0,2014-01-01 06:00:00,01.01,06:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,8.0,-1.2,970.0,60.0,1.7,8.0,3.4,94.0,0.0,0.0,277.0,-315.0,2.0,2014-01-01 07:00:00,01.01,07:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,9.0,-1.2,970.0,70.0,1.6,8.0,3.4,94.0,6.0,22.0,282.0,-313.0,2.0,2014-01-01 08:00:00,01.01,08:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,10.0,-0.9,969.0,70.0,2.2,7.0,3.4,93.0,7.0,72.0,280.0,-313.0,2.0,2014-01-01 09:00:00,01.01,09:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,11.0,-0.7,969.0,90.0,2.5,8.0,3.4,91.0,1.0,85.0,281.0,-315.0,2.0,2014-01-01 10:00:00,01.01,10:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,12.0,-0.5,968.0,90.0,3.1,8.0,3.4,91.0,0.0,90.0,287.0,-318.0,2.0,2014-01-01 11:00:00,01.01,11:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,13.0,-0.1,967.0,110.0,3.9,8.0,3.5,90.0,0.0,76.0,288.0,-320.0,2.0,2014-01-01 12:00:00,01.01,12:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,14.0,-0.5,965.0,90.0,3.8,8.0,3.4,87.0,0.0,59.0,289.0,-320.0,2.0,2014-01-01 13:00:00,01.01,13:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,15.0,-0.8,964.0,80.0,3.9,8.0,3.3,86.0,0.0,43.0,290.0,-321.0,2.0,2014-01-01 14:00:00,01.01,14:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,16.0,-1.2,963.0,80.0,3.9,8.0,3.2,86.0,0.0,13.0,291.0,-321.0,2.0,2014-01-01 15:00:00,01.01,15:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,17.0,-1.3,963.0,70.0,3.4,8.0,3.2,88.0,0.0,1.0,292.0,-320.0,2.0,2014-01-01 16:00:00,01.01,16:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
4179500,2403500.0,1.0,1.0,18.0,-1.4,963.0,100.0,2.6,8.0,3.2,88.0,0.0,0.0,293.0,-318.0,2.0,2014-01-01 17:00:00,01.01,17:00:00,-1.25,-1.25,7.83,7.83,W,S,B,WSB
