Koordinatensystem : Lambert konform konisch
Rechtswert        : 4179500 Meter
Hochwert          : 2403500 Meter
Hoehenlage        : 404 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4179500 2403500  1  1  1  -0.2  972  85  2.2 7  3.7  96    0    0 279 -317  2
4179500 2403500  1  1  2  -0.7  972  54  2.1 8  3.6  95    0    0 279 -317  2
4179500 2403500  1  1  3  -1.0  972  32  2.0 8  3.5  95    0    0 280 -317  2
4179500 2403500  1  1  4  -1.0  972  47  1.9 8  3.5  94    0    0 280 -317  2
4179500 2403500  1  1  5  -1.0  972  56  1.7 8  3.4  94    0    0 277 -317  2
4179500 2403500  1  1  6  -1.1  971  90  1.8 8  3.4  93    0    0 277 -317  2
4179500 2403500  1  1  7  -1.2  970  50  1.2 7  3.4  93    0    0 277 -317  2
4179500 2403500  1  1  8  -1.2  970  60  1.7 8  3.4  94    0    0 277 -315  2
4179500 2403500  1  1  9  -1.2  970  70  1.6 8  3.4  94    6   22 282 -313  2
4179500 2403500  1  1 10  -0.9  969  70  2.2 7  3.4  93    7   72 280 -313  2
4179500 2403500  1  1 11  -0.7  969  90  2.5 8  3.4  91    1   85 281 -315  2
4179500 2403500  1  1 12  -0.5  968  90  3.1 8  3.4  91    0   90 287 -318  2
4179500 2403500  1  1 13  -0.1  967 110  3.9 8  3.5  90    0   76 288 -320  2
4179500 2403500  1  1 14  -0.5  965  90  3.8 8  3.4  87    0   59 289 -320  2
4179500 2403500  1  1 15  -0.8  964  80  3.9 8  3.3  86    0   43 290 -321  2
4179500 2403500  1  1 16  -1.2  963  80  3.9 8  3.2  86    0   13 291 -321  2
4179500 2403500  1  1 17  -1.3  963  70  3.4 8  3.2  88    0    1 292 -320  2
4179500 2403500  1  1 18  -1.4  963 100  2.6 8  3.2  88    0    0 293 -318  2
4179500 2403500  1  1 19  -1.7  962  90  2.8 8  3.1  88    0    0 294 -316  2
4179500 2403500  1  1 20  -1.9  962  80  3.0 8  3.0  87    0    0 294 -313  2
4179500 2403500  1  1 21  -2.3  962  46  3.0 8  2.9  86    0    0 294 -311  2
4179500 2403500  1  1 22  -2.6  962  60  2.6 8  2.9  86    0    0 293 -311  2
4179500 2403500  1  1 23  -2.6  962  60  2.5 8  2.9  87    0    0 293 -311  2
4179500 2403500  1  1 24  -2.8  962  70  2.3 7  2.9  87    0    0 285 -309  2
