#1
double	presence(35040, 2)
1514764800	1
1514765700	1
1514766600	0
1514767500	0
1514768400	0
1514769300	0
1514770200	0
1514771100	0
1514772000	0
1514772900	0
1514773800	0
1514774700	0
1514775600	0
1514776500	0
1514777400	0
1514778300	0
1514779200	0
1514780100	0
1514781000	0
1514781900	0
1514782800	0
1514783700	0
1514784600	0
1514785500	0
1514786400	0
1514787300	0
1514788200	0
1514789100	0
1514790000	0
1514790900	0
1514791800	0
1514792700	0
1514793600	0
1514794500	0
1514795400	0
1514796300	0
1514797200	0
1514798100	0
1514799000	0
1514799900	0
1514800800	0
1514801700	0
1514802600	0
1514803500	0
1514804400	0
1514805300	0
1514806200	0
1514807100	0
1514808000	0
1514808900	0
1514809800	0
1514810700	0
1514811600	0
1514812500	0
1514813400	0
1514814300	0
1514815200	0
1514816100	0
1514817000	0
1514817900	0
1514818800	0
1514819700	0
1514820600	0
1514821500	0
1514822400	1
1514823300	1
1514824200	1
1514825100	1
1514826000	1
1514826900	1
1514827800	1
1514828700	1
1514829600	1
1514830500	1
1514831400	1
1514832300	1
1514833200	1
1514834100	1
1514835000	1
1514835900	1
1514836800	1
1514837700	1
1514838600	1
1514839500	1
1514840400	1
1514841300	1
1514842200	1
1514843100	1
1514844000	0
1514844900	0
1514845800	0
1514846700	0
1514847600	0
1514848500	0
1514849400	0
1514850300	0
1514851200	1
1514852100	1
1514853000	0
1514853900	0
1514854800	0
1514855700	0
1514856600	0
1514857500	0
1514858400	0
1514859300	0
1514860200	0
1514861100	0
1514862000	0
1514862900	0
1514863800	0
1514864700	0
1514865600	0
1514866500	0
1514867400	0
1514868300	0
1514869200	0
1514870100	0
1514871000	0
1514871900	0
1514872800	0
1514873700	0
1514874600	0
1514875500	0
1514876400	0
1514877300	0
1514878200	0
1514879100	0
1514880000	0
1514880900	0
1514881800	0
1514882700	0
1514883600	0
1514884500	0
1514885400	0
1514886300	0
1514887200	0
1514888100	0
1514889000	0
1514889900	0
1514890800	0
1514891700	0
1514892600	0
1514893500	0
1514894400	0
1514895300	0
1514896200	0
1514897100	0
1514898000	0
1514898900	0
1514899800	0
1514900700	0
1514901600	0
1514902500	0
1514903400	0
1514904300	0
1514905200	0
1514906100	0
1514907000	0
1514907900	0
1514908800	1
1514909700	1
1514910600	1
1514911500	1
1514912400	1
1514913300	1
1514914200	1
1514915100	1
1514916000	1
1514916900	1
1514917800	1
1514918700	1
1514919600	1
1514920500	1
1514921400	1
1514922300	1
1514923200	1
1514924100	1
1514925000	1
1514925900	1
1514926800	1
1514927700	1
1514928600	1
1514929500	1
1514930400	0
1514931300	0
1514932200	0
1514933100	0
1514934000	0
1514934900	0
1514935800	0
1514936700	0
1514937600	1
1514938500	1
1514939400	0
1514940300	0
1514941200	0
1514942100	0
1514943000	0
1514943900	0
1514944800	0
1514945700	0
1514946600	0
1514947500	0
1514948400	0
1514949300	0
1514950200	0
1514951100	0
1514952000	0
1514952900	0
1514953800	0
1514954700	0
1514955600	0
1514956500	0
1514957400	0
1514958300	0
1514959200	0
1514960100	0
1514961000	0
1514961900	0
1514962800	0
1514963700	0
1514964600	0
1514965500	0
1514966400	0
1514967300	0
1514968200	0
1514969100	0
1514970000	0
1514970900	0
1514971800	0
1514972700	0
1514973600	0
1514974500	0
1514975400	0
1514976300	0
1514977200	0
1514978100	0
1514979000	0
1514979900	0
1514980800	0
1514981700	0
1514982600	0
1514983500	0
1514984400	0
1514985300	0
1514986200	0
1514987100	0
1514988000	0
1514988900	0
1514989800	0
1514990700	0
1514991600	0
1514992500	0
1514993400	0
1514994300	0
1514995200	1
1514996100	1
1514997000	1
1514997900	1
1514998800	1
1514999700	1
1515000600	1
1515001500	1
1515002400	1
1515003300	1
1515004200	1
1515005100	1
1515006000	1
1515006900	1
1515007800	1
1515008700	1
1515009600	1
1515010500	1
1515011400	1
1515012300	1
1515013200	1
1515014100	1
1515015000	1
1515015900	1
1515016800	0
1515017700	0
1515018600	0
1515019500	0
1515020400	0
1515021300	0
1515022200	0
1515023100	0
1515024000	1
1515024900	1
1515025800	0
1515026700	0
1515027600	0
1515028500	0
1515029400	0
1515030300	0
1515031200	0
1515032100	0
1515033000	0
1515033900	0
1515034800	0
1515035700	0
1515036600	0
1515037500	0
1515038400	0
1515039300	0
1515040200	0
1515041100	0
1515042000	0
1515042900	0
1515043800	0
1515044700	0
1515045600	0
