#1
double	presence(17520, 2)
1609459650.0	1
1609461450.0	0
1609463250.0	0
1609465050.0	0
1609466850.0	0
1609468650.0	0
1609470450.0	0
1609472250.0	0
1609474050.0	0
1609475850.0	0
1609477650.0	0
1609479450.0	0
1609481250.0	0
1609483050.0	0
1609484850.0	0
1609486650.0	0
1609488450.0	0
1609490250.0	0
1609492050.0	0
1609493850.0	1
1609495650.0	1
1609497450.0	0
1609499250.0	0
1609501050.0	1
1609502850.0	1
1609504650.0	1
1609506450.0	1
1609508250.0	1
1609510050.0	0
1609511850.0	0
1609513650.0	0
1609515450.0	0
1609517250.0	0
1609519050.0	1
1609520850.0	0
1609522650.0	0
1609524450.0	1
1609526250.0	1
1609528050.0	1
1609529850.0	1
1609531650.0	1
1609533450.0	0
1609535250.0	0
1609537050.0	1
1609538850.0	0
1609540650.0	0
1609542450.0	0
1609544250.0	0
1609546050.0	0
1609547850.0	0
1609549650.0	0
1609551450.0	0
1609553250.0	0
1609555050.0	0
1609556850.0	0
1609558650.0	0
1609560450.0	0
1609562250.0	0
1609564050.0	0
1609565850.0	0
1609567650.0	0
1609569450.0	0
1609571250.0	0
1609573050.0	0
1609574850.0	0
1609576650.0	0
1609578450.0	1
1609580250.0	1
1609582050.0	1
1609583850.0	1
1609585650.0	1
1609587450.0	1
1609589250.0	1
1609591050.0	1
1609592850.0	1
1609594650.0	1
1609596450.0	1
1609598250.0	1
1609600050.0	1
1609601850.0	1
1609603650.0	1
1609605450.0	1
1609607250.0	1
1609609050.0	0
1609610850.0	0
1609612650.0	0
1609614450.0	0
1609616250.0	0
1609618050.0	0
1609619850.0	0
1609621650.0	1
1609623450.0	1
1609625250.0	0
1609627050.0	0
1609628850.0	0
1609630650.0	0
1609632450.0	1
1609634250.0	0
1609636050.0	0
1609637850.0	0
1609639650.0	0
1609641450.0	0
1609643250.0	0
1609645050.0	0
1609646850.0	0
1609648650.0	0
1609650450.0	0
1609652250.0	0
1609654050.0	0
1609655850.0	0
1609657650.0	0
1609659450.0	0
1609661250.0	0
1609663050.0	0
1609664850.0	0
1609666650.0	1
1609668450.0	1
1609670250.0	1
1609672050.0	0
