#1
double	Pel(35040, 2)
1514764800	176
1514765700	176
1514766600	176
1514767500	176
1514768400	208
1514769300	208
1514770200	208
1514771100	208
1514772000	200
1514772900	200
1514773800	200
1514774700	200
1514775600	172
1514776500	172
1514777400	172
1514778300	172
1514779200	196
1514780100	196
1514781000	196
1514781900	196
1514782800	280
1514783700	280
1514784600	280
1514785500	280
1514786400	372
1514787300	372
1514788200	372
1514789100	372
1514790000	324
1514790900	324
1514791800	324
1514792700	324
1514793600	176
1514794500	176
1514795400	176
1514796300	176
1514797200	176
1514798100	176
1514799000	176
1514799900	176
1514800800	152
1514801700	152
1514802600	152
1514803500	152
1514804400	136
1514805300	136
1514806200	136
1514807100	136
1514808000	132
1514808900	132
1514809800	132
1514810700	132
1514811600	136
1514812500	136
1514813400	136
1514814300	136
1514815200	136
1514816100	136
1514817000	136
1514817900	136
1514818800	180
1514819700	180
1514820600	180
1514821500	180
1514822400	336
1514823300	336
1514824200	336
1514825100	336
1514826000	652
1514826900	652
1514827800	652
1514828700	652
1514829600	644
1514830500	644
1514831400	644
1514832300	644
1514833200	396
1514834100	396
1514835000	396
1514835900	396
1514836800	364
1514837700	364
1514838600	364
1514839500	364
1514840400	348
1514841300	348
1514842200	348
1514843100	348
1514844000	276
1514844900	276
1514845800	276
1514846700	276
1514847600	184
1514848500	184
1514849400	184
1514850300	184
1514851200	176
1514852100	176
1514853000	176
1514853900	176
1514854800	208
1514855700	208
1514856600	208
1514857500	208
1514858400	200
1514859300	200
1514860200	200
1514861100	200
1514862000	172
1514862900	172
1514863800	172
1514864700	172
1514865600	196
1514866500	196
1514867400	196
1514868300	196
1514869200	280
1514870100	280
1514871000	280
1514871900	280
1514872800	372
1514873700	372
1514874600	372
1514875500	372
1514876400	324
1514877300	324
1514878200	324
1514879100	324
1514880000	176
1514880900	176
1514881800	176
1514882700	176
1514883600	176
1514884500	176
1514885400	176
1514886300	176
1514887200	152
1514888100	152
1514889000	152
1514889900	152
1514890800	136
1514891700	136
1514892600	136
1514893500	136
1514894400	132
1514895300	132
1514896200	132
1514897100	132
1514898000	136
1514898900	136
1514899800	136
1514900700	136
1514901600	136
1514902500	136
1514903400	136
1514904300	136
1514905200	180
1514906100	180
1514907000	180
1514907900	180
1514908800	336
1514909700	336
1514910600	336
1514911500	336
1514912400	652
1514913300	652
1514914200	652
1514915100	652
1514916000	644
1514916900	644
1514917800	644
1514918700	644
1514919600	396
1514920500	396
1514921400	396
1514922300	396
1514923200	364
1514924100	364
1514925000	364
1514925900	364
1514926800	348
1514927700	348
1514928600	348
1514929500	348
1514930400	276
1514931300	276
1514932200	276
1514933100	276
1514934000	184
1514934900	184
1514935800	184
1514936700	184
1514937600	176
1514938500	176
1514939400	176
1514940300	176
1514941200	208
1514942100	208
1514943000	208
1514943900	208
1514944800	200
1514945700	200
1514946600	200
1514947500	200
1514948400	172
1514949300	172
1514950200	172
1514951100	172
1514952000	196
1514952900	196
1514953800	196
1514954700	196
1514955600	280
1514956500	280
1514957400	280
1514958300	280
1514959200	372
1514960100	372
1514961000	372
1514961900	372
1514962800	324
1514963700	324
1514964600	324
1514965500	324
1514966400	176
1514967300	176
1514968200	176
1514969100	176
1514970000	176
1514970900	176
1514971800	176
1514972700	176
1514973600	152
1514974500	152
1514975400	152
1514976300	152
1514977200	136
1514978100	136
1514979000	136
1514979900	136
1514980800	132
1514981700	132
1514982600	132
1514983500	132
1514984400	136
1514985300	136
1514986200	136
1514987100	136
1514988000	136
1514988900	136
1514989800	136
1514990700	136
1514991600	180
1514992500	180
1514993400	180
1514994300	180
1514995200	336
1514996100	336
1514997000	336
1514997900	336
1514998800	652
1514999700	652
1515000600	652
1515001500	652
1515002400	644
1515003300	644
1515004200	644
1515005100	644
1515006000	396
1515006900	396
1515007800	396
1515008700	396
1515009600	364
1515010500	364
1515011400	364
1515012300	364
1515013200	348
1515014100	348
1515015000	348
1515015900	348
1515016800	276
1515017700	276
1515018600	276
1515019500	276
1515020400	184
1515021300	184
1515022200	184
1515023100	184
1515024000	176
1515024900	176
1515025800	176
1515026700	176
1515027600	208
1515028500	208
1515029400	208
1515030300	208
1515031200	200
1515032100	200
1515033000	200
1515033900	200
1515034800	172
1515035700	172
1515036600	172
1515037500	172
1515038400	196
1515039300	196
1515040200	196
1515041100	196
1515042000	280
1515042900	280
1515043800	280
1515044700	280
1515045600	372
1515046500	372
1515047400	372
1515048300	372
1515049200	324
1515050100	324
1515051000	324
1515051900	324
1515052800	176
1515053700	176
1515054600	176
1515055500	176
1515056400	176
1515057300	176
1515058200	176
1515059100	176
1515060000	152
1515060900	152
1515061800	152
1515062700	152
1515063600	136
1515064500	136
1515065400	136
1515066300	136
1515067200	132
1515068100	132
1515069000	132
1515069900	132
1515070800	136
1515071700	136
1515072600	136
1515073500	136
1515074400	136
1515075300	136
1515076200	136
1515077100	136
1515078000	180
1515078900	180
1515079800	180
1515080700	180
1515081600	336
1515082500	336
1515083400	336
1515084300	336
1515085200	652
1515086100	652
1515087000	652
1515087900	652
1515088800	644
1515089700	644
1515090600	644
1515091500	644
1515092400	396
1515093300	396
1515094200	396
1515095100	396
1515096000	364
1515096900	364
1515097800	364
1515098700	364
1515099600	348
1515100500	348
1515101400	348
1515102300	348
1515103200	276
1515104100	276
1515105000	276
1515105900	276
1515106800	184
1515107700	184
1515108600	184
1515109500	184
1515110400	176
1515111300	176
1515112200	176
1515113100	176
1515114000	208
1515114900	208
1515115800	208
1515116700	208
1515117600	200
1515118500	200
1515119400	200
1515120300	200
1515121200	172
1515122100	172
1515123000	172
1515123900	172
1515124800	196
1515125700	196
1515126600	196
1515127500	196
1515128400	280
